,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
64,CHE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Switzerland,2012,Sex,9.5 [8.1-11.0],756,0,9.5,8.1,11.0
65,CHE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Switzerland,2012,Sex,14.2 [12.7-15.7],756,1,14.2,12.7,15.7
66,CHL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Chile,2012,Sex,34.6 [32.5-36.7],152,0,34.6,32.5,36.7
67,CHL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Chile,2012,Sex,24.4 [22.5-26.4],152,1,24.4,22.5,26.4
68,CHN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",China,2012,Sex,4.7 [4.4-5.0],156,0,4.7,4.4,5.0
69,CHN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",China,2012,Sex,4.3 [4.0-4.5],156,1,4.3,4.0,4.5
70,CIV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cote d'Ivoire,2012,Sex,11.1 [9.5-12.9],384,0,11.1,9.5,12.9
71,CIV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cote d'Ivoire,2012,Sex,5.4 [3.5-7.8],384,1,5.4,3.5,7.8
72,CMR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cameroon,2012,Sex,15.9 [14.5-17.4],120,0,15.9,14.5,17.4
73,CMR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cameroon,2012,Sex,7.4 [6.0-9.0],120,1,7.4,6.0,9.0
