,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
87,CYP,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cyprus,2012,Sex,36.0 [27.9-45.1],196,1,36.0,27.9,45.1
88,CZE,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Czechia,2012,Sex,24.3 [18.2-30.9],203,0,24.3,18.2,30.9
89,CZE,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Czechia,2012,Sex,22.1 [16.7-28.0],203,1,22.1,16.7,28.0
90,DEU,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Germany,2012,Sex,15.8 [12.6-19.2],276,0,15.8,12.6,19.2
91,DEU,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Germany,2012,Sex,15.6 [12.7-18.9],276,1,15.6,12.7,18.9
92,DJI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Djibouti,2012,Sex,21.1 [5.9-44.9],262,0,21.1,5.9,44.9
93,DJI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Djibouti,2012,Sex,14.1 [4.8-30.9],262,1,14.1,4.8,30.9
94,DMA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Dominica,2012,Sex,33.0 [18.5-49.4],212,0,33.0,18.5,49.4
95,DMA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Dominica,2012,Sex,17.0 [8.8-27.8],212,1,17.0,8.8,27.8
96,DNK,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Denmark,2012,Sex,17.3 [12.4-23.2],208,0,17.3,12.4,23.2
97,DNK,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Denmark,2012,Sex,18.4 [13.6-24.1],208,1,18.4,13.6,24.1
98,DOM,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Dominican Republic,2012,Sex,37.5 [14.2-65.3],214,0,37.5,14.2,65.3
99,DOM,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Dominican Republic,2012,Sex,27.4 [11.4-51.1],214,1,27.4,11.4,51.1
100,DZA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Algeria,2012,Sex,34.2 [21.1-48.7],12,0,34.2,21.1,48.7
